id,country,state,city,zip,latitude,longitude
411,US,PR,Haciendas De Miramar,00623,18.08,-67.14
412,US,PR,Jard Del Puerto,00623,18.08,-67.14
413,US,PR,Mans De Cabo Rojo,00623,18.08,-67.14
414,US,PR,Mansiones,00623,18.08,-67.14
415,US,PR,Parc Betances,00623,18.08,-67.14
416,US,PR,Parc Elizabeth,00623,18.08,-67.14
417,US,PR,Parc Las Margaritas,00623,18.08,-67.14
418,US,PR,Parc Las 35,00623,18.08,-67.14
419,US,PR,Parc Puerto Real,00623,18.08,-67.14
420,US,PR,Qtas De Cabo Rojo,00623,18.08,-67.14
421,US,PR,Repto Miradero,00623,18.08,-67.14
422,US,PR,Repto Oliveras,00623,18.08,-67.14
423,US,PR,Urb Alta Vista,00623,18.08,-67.14
424,US,PR,Urb Ana Maria,00623,18.08,-67.14
425,US,PR,Urb Borinquen,00623,18.08,-67.14
426,US,PR,Urb El Retiro,00623,18.08,-67.14
427,US,PR,Urb Elizabeth,00623,18.08,-67.14
428,US,PR,Urb Kofresi,00623,18.08,-67.14
429,US,PR,Urb La Concepcion,00623,18.08,-67.14
430,US,PR,Urb Monte Grande,00623,18.08,-67.14
431,US,PR,Urb Montesol,00623,18.08,-67.14
432,US,PR,Urb Ramirez,00623,18.08,-67.14
433,US,PR,Urb Remanso De Cabo Rojo,00623,18.08,-67.14
434,US,PR,Urb San Miguel,00623,18.08,-67.14
435,US,PR,Urb Sierra Linda,00623,18.08,-67.14
436,US,PR,Villa Aida,00623,18.08,-67.14
437,US,PR,Villa Del Carmen,00623,18.08,-67.14
438,US,PR,Villa Luisa,00623,18.08,-67.14
439,US,PR,Villas De Plan Bonito,00623,18.08,-67.14
440,US,PR,Caguas,00725,18.23,-66.03
441,US,PR,Alt De Caguas,00725,18.23,-66.03
442,US,PR,Alt Del Turabo,00725,18.23,-66.03
443,US,PR,Bda Morales,00725,18.23,-66.03
444,US,PR,Bosques De La Sierra,00725,18.23,-66.03
445,US,PR,Brisas Del Parque I,00725,18.23,-66.03
446,US,PR,Brisas Del Parque Ii,00725,18.23,-66.03
447,US,PR,Est El Verde,00725,18.23,-66.03
448,US,PR,Ext Caguax,00725,18.23,-66.03
449,US,PR,Ext El Verde,00725,18.23,-66.03
450,US,PR,Ext La Granja,00725,18.23,-66.03
451,US,PR,Ext Villa Blanca,00725,18.23,-66.03
452,US,PR,Hacienda Borinquen,00725,18.23,-66.03
453,US,PR,Jard Pla,00725,18.23,-66.03
454,US,PR,Lomas De La Serrania,00725,18.23,-66.03
455,US,PR,Parq Las Mercedes,00725,18.23,-66.03
456,US,PR,Paseo Del Rio,00725,18.23,-66.03
457,US,PR,Qtas De San Luis 1,00725,18.23,-66.03
458,US,PR,Qtas De San Luis 2,00725,18.23,-66.03
459,US,PR,Qtas De Villa Blanca,00725,18.23,-66.03
460,US,PR,Repto Caguax,00725,18.23,-66.03
461,US,PR,Repto Solano,00725,18.23,-66.03
462,US,PR,Res Bairoa,00725,18.23,-66.03
463,US,PR,Terr De Borinquen,00725,18.23,-66.03
464,US,PR,Urb Balcones Las Catalinas,00725,18.23,-66.03
465,US,PR,Urb Batista,00725,18.23,-66.03
466,US,PR,Urb Billy Suarez,00725,18.23,-66.03
467,US,PR,Urb Bonneville Gdns,00725,18.23,-66.03
468,US,PR,Urb Bonneville Terr,00725,18.23,-66.03
469,US,PR,Urb Borinquen Valley,00725,18.23,-66.03
470,US,PR,Urb Brooklyn,00725,18.23,-66.03
471,US,PR,Urb Bunker,00725,18.23,-66.03
472,US,PR,Urb Caguas Milenio,00725,18.23,-66.03
473,US,PR,Urb Caguas Norte,00725,18.23,-66.03
474,US,PR,Urb Caribe Gdns,00725,18.23,-66.03
475,US,PR,Urb Condado Moderno,00725,18.23,-66.03
476,US,PR,Urb Condado Viejo,00725,18.23,-66.03
477,US,PR,Urb El Retiro,00725,18.23,-66.03
478,US,PR,Urb El Rincon De La Serrania,00725,18.23,-66.03
479,US,PR,Urb El Verde,00725,18.23,-66.03
480,US,PR,Urb Grillo,00725,18.23,-66.03
481,US,PR,Urb Jose Delgado,00725,18.23,-66.03
482,US,PR,Urb Jose Mercado,00725,18.23,-66.03
483,US,PR,Urb La Granja,00725,18.23,-66.03
484,US,PR,Urb La Meseta,00725,18.23,-66.03
485,US,PR,Urb Machin,00725,18.23,-66.03
486,US,PR,Urb Mariolga,00725,18.23,-66.03
487,US,PR,Urb Monticielo,00725,18.23,-66.03
488,US,PR,Urb Myrlena,00725,18.23,-66.03
489,US,PR,Urb Nazario,00725,18.23,-66.03
490,US,PR,Urb Notre Dame,00725,18.23,-66.03
491,US,PR,Urb Paradise,00725,18.23,-66.03
492,US,PR,Urb San Alfonso,00725,18.23,-66.03
493,US,PR,Urb San Antonio,00725,18.23,-66.03
494,US,PR,Urb San Marcos,00725,18.23,-66.03
495,US,PR,Urb San Pedro Est,00725,18.23,-66.03
496,US,PR,Urb San Rafael,00725,18.23,-66.03
497,US,PR,Urb Santa Cecilia,00725,18.23,-66.03
498,US,PR,Urb Santa Elvira,00725,18.23,-66.03
499,US,PR,Urb Santa Juana,00725,18.23,-66.03
500,US,PR,Urb Santa Juana 2,00725,18.23,-66.03
501,US,PR,Urb Santa Juana 3,00725,18.23,-66.03
502,US,PR,Urb Santa Juana 4,00725,18.23,-66.03
503,US,PR,Urb Santa Rosa,00725,18.23,-66.03
504,US,PR,Urb Santo Domingo,00725,18.23,-66.03
